Threshold,Cohort,Strategy,NetBenefit,id
0.01,Training,Three-gene model,0.992973210364515,1
0.02,Training,Three-gene model,0.973084886128365,2
0.03,Training,Three-gene model,0.968474525623786,3
0.04,Training,Three-gene model,0.963768115942029,4
0.05,Training,Three-gene model,0.959572845156369,5
0.06,Training,Three-gene model,0.955905026210299,6
0.07,Training,Three-gene model,0.952781673679289,7
0.08,Training,Three-gene model,0.948960302457467,8
0.09,Training,Three-gene model,0.94824016563147,9
0.1,Training,Three-gene model,0.943639291465379,10
0.11,Training,Three-gene model,0.940726266080443,11
0.12,Training,Three-gene model,0.936100131752306,12
0.13,Training,Three-gene model,0.931367649508579,13
0.14,Training,Three-gene model,0.931243680485339,14
0.15,Training,Three-gene model,0.926683716965047,15
0.16,Training,Three-gene model,0.924775707384403,16
0.17,Training,Three-gene model,0.920202549327746,17
0.18,Training,Three-gene model,0.915517850830682,18
0.19,Training,Three-gene model,0.91071748076579,19
0.2,Training,Three-gene model,0.905797101449275,20
0.21,Training,Three-gene model,0.900752155567786,21
0.22,Training,Three-gene model,0.899665551839465,22
0.23,Training,Three-gene model,0.888763410502541,23
0.24,Training,Three-gene model,0.888634630053394,24
0.25,Training,Three-gene model,0.888888888888889,25
0.26,Training,Three-gene model,0.884449667058363,26
0.27,Training,Three-gene model,0.879888822711932,27
0.28,Training,Three-gene model,0.875201288244767,28
0.29,Training,Three-gene model,0.870381710553174,29
0.3,Training,Three-gene model,0.865424430641822,30
0.31,Training,Three-gene model,0.860323461457677,31
0.32,Training,Three-gene model,0.855072463768116,32
0.33,Training,Three-gene model,0.849664719878867,33
0.34,Training,Three-gene model,0.859025032938077,34
0.35,Training,Three-gene model,0.853957636566332,35
0.36,Training,Three-gene model,0.848731884057971,36
0.37,Training,Three-gene model,0.843340234644583,37
0.38,Training,Three-gene model,0.837774661056569,38
0.39,Training,Three-gene model,0.817533856022808,39
0.4,Training,Three-gene model,0.811594202898551,40
0.41,Training,Three-gene model,0.80545320560059,41
0.42,Training,Three-gene model,0.799100449775113,42
0.43,Training,Three-gene model,0.803457920162726,43
0.44,Training,Three-gene model,0.797101449275362,44
0.45,Training,Three-gene model,0.790513833992095,45
0.46,Training,Three-gene model,0.783682232957595,46
0.47,Training,Three-gene model,0.776592835657643,47
0.48,Training,Three-gene model,0.754738015607581,48
0.49,Training,Three-gene model,0.761011651037226,49
0.5,Training,Three-gene model,0.768115942028986,50
0.51,Training,Three-gene model,0.761017450458444,51
0.52,Training,Three-gene model,0.753623188405797,52
0.53,Training,Three-gene model,0.764107308048104,53
0.54,Training,Three-gene model,0.774417139256459,54
0.55,Training,Three-gene model,0.768115942028986,55
0.56,Training,Three-gene model,0.732542819499341,56
0.57,Training,Three-gene model,0.725648803505224,57
0.58,Training,Three-gene model,0.68944099378882,58
0.59,Training,Three-gene model,0.667373630258042,59
0.6,Training,Three-gene model,0.659420289855073,60
0.61,Training,Three-gene model,0.651059085841695,61
0.62,Training,Three-gene model,0.642257818459191,62
0.63,Training,Three-gene model,0.63298080689385,63
0.64,Training,Three-gene model,0.648953301127214,64
0.65,Training,Three-gene model,0.625258799171843,65
0.66,Training,Three-gene model,0.615515771526002,66
0.67,Training,Three-gene model,0.590689503732982,67
0.68,Training,Three-gene model,0.550724637681159,68
0.69,Training,Three-gene model,0.524544179523142,69
0.7,Training,Three-gene model,0.454106280193237,70
0.71,Training,Three-gene model,0.426286856571714,71
0.72,Training,Three-gene model,0.368530020703934,72
0.73,Training,Three-gene model,0.353193773483629,73
0.74,Training,Three-gene model,0.377926421404682,74
0.75,Training,Three-gene model,0.347826086956522,75
0.76,Training,Three-gene model,0.301932367149758,76
0.77,Training,Three-gene model,0.269061121613106,77
0.78,Training,Three-gene model,0.300395256916996,78
0.79,Training,Three-gene model,0.281573498964803,79
0.8,Training,Three-gene model,0.231884057971014,80
0.01,Internal test,Three-gene model,0.992929292929293,81
0.02,Internal test,Three-gene model,0.987074829931973,82
0.03,Internal test,Three-gene model,0.982474226804124,83
0.04,Internal test,Three-gene model,0.976388888888889,84
0.05,Internal test,Three-gene model,0.971929824561403,85
0.06,Internal test,Three-gene model,0.965957446808511,86
0.07,Internal test,Three-gene model,0.959856630824373,87
0.08,Internal test,Three-gene model,0.96231884057971,88
0.09,Internal test,Three-gene model,0.957142857142857,89
0.1,Internal test,Three-gene model,0.955555555555555,90
0.11,Internal test,Three-gene model,0.950561797752809,91
0.12,Internal test,Three-gene model,0.95,92
0.13,Internal test,Three-gene model,0.945210727969349,93
0.14,Internal test,Three-gene model,0.945736434108527,94
0.15,Internal test,Three-gene model,0.941176470588235,95
0.16,Internal test,Three-gene model,0.936507936507937,96
0.17,Internal test,Three-gene model,0.93855421686747,97
0.18,Internal test,Three-gene model,0.934146341463415,98
